Domain,File Type,File Path,Class Name,Field Name,Field Type,Relationship Type,Line Number,Should Remove
choice,dto,core/models/choice/choice_dto.py,ChoiceDTO,informed_by_knowledge_uids,list[str],GUIDANCE,88,YES
event,dto,core/models/event/event_dto.py,EventDTO,practices_knowledge_uids,list[str],APPLICATION,70,YES
event,request,core/models/event/event_request.py,EventCreateRequest,practices_knowledge_uids,list[str],APPLICATION,85,REVIEW
event,request,core/models/event/event_request.py,EventUpdateRequest,practices_knowledge_uids,list[str] | None,APPLICATION,140,REVIEW
event,request,core/models/event/event_request.py,EventResponse,practices_knowledge_uids,list[str],APPLICATION,199,REVIEW
goal,dto,core/models/goal/goal_dto.py,GoalDTO,required_knowledge_uids,list[str],OTHER,59,YES
goal,dto,core/models/goal/goal_dto.py,GoalDTO,supporting_habit_uids,list[str],SUPPORT,60,YES
goal,dto,core/models/goal/goal_dto.py,GoalDTO,guiding_principle_uids,list[str],OTHER,61,YES
goal,dto,core/models/goal/goal_dto.py,GoalDTO,sub_goal_uids,list[str],OTHER,63,YES
goal,dto,core/models/goal/goal_dto.py,GoalDTO,essential_habit_uids,list[str],OTHER,67,YES
goal,dto,core/models/goal/goal_dto.py,GoalDTO,critical_habit_uids,list[str],OTHER,68,YES
goal,dto,core/models/goal/goal_dto.py,GoalDTO,optional_habit_uids,list[str],OTHER,69,YES
goal,dto,core/models/goal/goal_dto.py,GoalDTO,aligned_learning_path_uids,list[str],SUPPORT,75,YES
goal,request,core/models/goal/goal_request.py,GoalCreateRequest,required_knowledge_uids,list[str],OTHER,47,REVIEW
goal,request,core/models/goal/goal_request.py,GoalCreateRequest,supporting_habit_uids,list[str],SUPPORT,48,REVIEW
goal,request,core/models/goal/goal_request.py,GoalCreateRequest,guiding_principle_uids,list[str],OTHER,49,REVIEW
goal,request,core/models/goal/goal_request.py,GoalUpdateRequest,required_knowledge_uids,list[str] | None,OTHER,191,REVIEW
goal,request,core/models/goal/goal_request.py,GoalUpdateRequest,supporting_habit_uids,list[str] | None,SUPPORT,192,REVIEW
goal,request,core/models/goal/goal_request.py,GoalUpdateRequest,guiding_principle_uids,list[str] | None,OTHER,193,REVIEW
goal,request,core/models/goal/goal_request.py,MilestoneCreateRequest,required_knowledge_uids,list[str],OTHER,246,REVIEW
goal,request,core/models/goal/goal_request.py,HabitSystemUpdateRequest,essential_habit_uids,list[str] | None,OTHER,367,REVIEW
goal,request,core/models/goal/goal_request.py,HabitSystemUpdateRequest,critical_habit_uids,list[str] | None,OTHER,371,REVIEW
goal,request,core/models/goal/goal_request.py,HabitSystemUpdateRequest,supporting_habit_uids,list[str] | None,SUPPORT,375,REVIEW
goal,request,core/models/goal/goal_request.py,HabitSystemUpdateRequest,optional_habit_uids,list[str] | None,OTHER,379,REVIEW
habit,dto,core/models/habit/habit_dto.py,HabitDTO,linked_knowledge_uids,list[str],ASSOCIATION,48,YES
habit,dto,core/models/habit/habit_dto.py,HabitDTO,linked_goal_uids,list[str],ASSOCIATION,49,YES
habit,dto,core/models/habit/habit_dto.py,HabitDTO,linked_principle_uids,list[str],ASSOCIATION,50,YES
habit,dto,core/models/habit/habit_dto.py,HabitDTO,prerequisite_habit_uids,list[str],PREREQUISITE,51,YES
habit,request,core/models/habit/habit_request.py,HabitCreateRequest,linked_knowledge_uids,list[str],ASSOCIATION,56,REVIEW
habit,request,core/models/habit/habit_request.py,HabitCreateRequest,linked_goal_uids,list[str],ASSOCIATION,60,REVIEW
habit,request,core/models/habit/habit_request.py,HabitCreateRequest,linked_principle_uids,list[str],ASSOCIATION,64,REVIEW
habit,request,core/models/habit/habit_request.py,HabitCreateRequest,prerequisite_habit_uids,list[str],PREREQUISITE,68,REVIEW
habit,request,core/models/habit/habit_request.py,HabitUpdateRequest,linked_knowledge_uids,list[str] | None,ASSOCIATION,159,REVIEW
habit,request,core/models/habit/habit_request.py,HabitUpdateRequest,linked_goal_uids,list[str] | None,ASSOCIATION,160,REVIEW
habit,request,core/models/habit/habit_request.py,HabitUpdateRequest,linked_principle_uids,list[str] | None,ASSOCIATION,161,REVIEW
habit,request,core/models/habit/habit_request.py,HabitUpdateRequest,prerequisite_habit_uids,list[str] | None,PREREQUISITE,162,REVIEW
journal,dto,core/models/journal/journal_dto.py,JournalDTO,related_journal_uids,list[str],ASSOCIATION,135,YES
journal,dto,core/models/journal/journal_dto.py,JournalDTO,goal_uids,list[str],OTHER,138,YES
journal,request,core/models/journal/journal_request.py,JournalCreateRequest,goal_uids,list[str],OTHER,54,REVIEW
journal,request,core/models/journal/journal_request.py,JournalCreateRequest,related_journal_uids,list[str],ASSOCIATION,55,REVIEW
journal,request,core/models/journal/journal_request.py,JournalUpdateRequest,goal_uids,list[str] | None,OTHER,107,REVIEW
journal,request,core/models/journal/journal_request.py,JournalUpdateRequest,related_journal_uids,list[str] | None,ASSOCIATION,108,REVIEW
journal,request,core/models/journal/journal_request.py,JournalBulkUpdateRequest,journal_uids,list[str],OTHER,278,REVIEW
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,primary_knowledge_uids,list[str],OTHER,33,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,supporting_knowledge_uids,list[str],SUPPORT,34,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,prerequisite_step_uids,list[str],PREREQUISITE,41,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,prerequisite_knowledge_uids,list[str],PREREQUISITE,42,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,principle_uids,list[str],OTHER,45,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,choice_uids,list[str],OTHER,46,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,habit_uids,list[str],OTHER,49,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,task_uids,list[str],OTHER,50,YES
ls,dto,core/models/ls/ls_dto.py,LearningStepDTO,event_template_uids,list[str],OTHER,51,YES
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,primary_knowledge_uids,list[str],OTHER,33,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,supporting_knowledge_uids,list[str],SUPPORT,34,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,prerequisite_step_uids,list[str],PREREQUISITE,41,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,prerequisite_knowledge_uids,list[str],PREREQUISITE,42,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,principle_uids,list[str],OTHER,45,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,choice_uids,list[str],OTHER,46,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,habit_uids,list[str],OTHER,49,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,task_uids,list[str],OTHER,50,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepCreateRequest,event_template_uids,list[str],OTHER,51,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,primary_knowledge_uids,list[str] | None,OTHER,83,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,supporting_knowledge_uids,list[str] | None,SUPPORT,84,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,prerequisite_step_uids,list[str] | None,PREREQUISITE,91,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,prerequisite_knowledge_uids,list[str] | None,PREREQUISITE,92,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,principle_uids,list[str] | None,OTHER,95,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,choice_uids,list[str] | None,OTHER,96,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,habit_uids,list[str] | None,OTHER,99,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,task_uids,list[str] | None,OTHER,100,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepUpdateRequest,event_template_uids,list[str] | None,OTHER,101,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,primary_knowledge_uids,list[str],OTHER,140,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,supporting_knowledge_uids,list[str],SUPPORT,141,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,prerequisite_step_uids,list[str],PREREQUISITE,148,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,prerequisite_knowledge_uids,list[str],PREREQUISITE,149,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,principle_uids,list[str],OTHER,152,REVIEW
